x0,y0,x1,y1,t0,t1,left_width,right_width
-5.050000,-0.350000,-4.950000,-0.350000,0.000000,0.083333,1.450000,1.450000
-4.950000,-0.350000,-4.850000,-0.350000,0.083333,0.166667,1.450000,1.450000
-4.850000,-0.350000,-4.750000,-0.450000,0.166667,0.284518,1.450000,1.450000
-4.750000,-0.450000,-4.650000,-0.550000,0.284518,0.402369,1.450000,1.450000
-4.650000,-0.550000,-4.550000,-0.650000,0.402369,0.520220,1.450000,1.450000
-4.550000,-0.650000,-4.450000,-0.750000,0.520220,0.638071,1.450000,1.450000
-4.450000,-0.750000,-4.350000,-0.850000,0.638071,0.755922,1.450000,1.450000
-4.350000,-0.850000,-4.250000,-0.950000,0.755922,0.873773,1.450000,1.450000
-4.250000,-0.950000,-4.150000,-0.950000,0.873773,0.957107,1.450000,1.450000
-4.150000,-0.950000,-4.050000,-0.950000,0.957107,1.040440,1.450000,1.450000
-4.050000,-0.950000,-3.950000,-0.950000,1.040440,1.123773,1.450000,1.450000
-3.950000,-0.950000,-3.850000,-0.950000,1.123773,1.207107,1.450000,1.450000
-3.850000,-0.950000,-3.750000,-0.950000,1.207107,1.290440,1.450000,1.450000
-3.750000,-0.950000,-3.650000,-0.950000,1.290440,1.373773,1.450000,1.450000
-3.650000,-0.950000,-3.550000,-0.950000,1.373773,1.457107,1.450000,1.450000
-3.550000,-0.950000,-3.450000,-0.950000,1.457107,1.540440,1.450000,1.450000
-3.450000,-0.950000,-3.350000,-0.950000,1.540440,1.623773,1.450000,1.450000
-3.350000,-0.950000,-3.250000,-0.950000,1.623773,1.707107,1.450000,1.450000
-3.250000,-0.950000,-3.150000,-0.950000,1.707107,1.790440,1.450000,1.450000
-3.150000,-0.950000,-3.050000,-0.950000,1.790440,1.873773,1.450000,1.450000
-3.050000,-0.950000,-2.950000,-0.950000,1.873773,1.957107,1.450000,1.450000
-2.950000,-0.950000,-2.850000,-0.950000,1.957107,2.040440,1.450000,1.450000
-2.850000,-0.950000,-2.750000,-0.950000,2.040440,2.123773,1.450000,1.450000
-2.750000,-0.950000,-2.650000,-0.950000,2.123773,2.207107,1.450000,1.450000
-2.650000,-0.950000,-2.550000,-0.950000,2.207107,2.290440,1.450000,1.450000
-2.550000,-0.950000,-2.450000,-0.950000,2.290440,2.373773,1.450000,1.450000
-2.450000,-0.950000,-2.350000,-0.950000,2.373773,2.457107,1.450000,1.450000
-2.350000,-0.950000,-2.250000,-0.950000,2.457107,2.540440,1.450000,1.450000
-2.250000,-0.950000,-2.150000,-0.950000,2.540440,2.623773,1.450000,1.450000
-2.150000,-0.950000,-2.050000,-0.950000,2.623773,2.707107,1.450000,1.450000
-2.050000,-0.950000,-1.950000,-0.950000,2.707107,2.790440,1.450000,1.450000
-1.950000,-0.950000,-1.850000,-0.950000,2.790440,2.873773,1.450000,1.450000
-1.850000,-0.950000,-1.750000,-0.950000,2.873773,2.957107,1.450000,1.450000
-1.750000,-0.950000,-1.650000,-0.950000,2.957107,3.040440,1.450000,1.450000
-1.650000,-0.950000,-1.550000,-0.950000,3.040440,3.123773,1.450000,1.450000
-1.550000,-0.950000,-1.450000,-0.950000,3.123773,3.207107,1.450000,1.450000
-1.450000,-0.950000,-1.350000,-0.950000,3.207107,3.290440,1.450000,1.450000
-1.350000,-0.950000,-1.250000,-0.950000,3.290440,3.373773,1.450000,1.450000
-1.250000,-0.950000,-1.150000,-0.950000,3.373773,3.457107,1.450000,1.450000
-1.150000,-0.950000,-1.050000,-0.950000,3.457107,3.540440,1.450000,1.450000
-1.050000,-0.950000,-0.950000,-0.950000,3.540440,3.623773,1.450000,1.450000
-0.950000,-0.950000,-0.850000,-0.950000,3.623773,3.707107,1.450000,1.450000
-0.850000,-0.950000,-0.750000,-0.950000,3.707107,3.790440,1.450000,1.450000
-0.750000,-0.950000,-0.650000,-0.950000,3.790440,3.873773,1.450000,1.450000
-0.650000,-0.950000,-0.550000,-0.950000,3.873773,3.957107,1.450000,1.450000
-0.550000,-0.950000,-0.450000,-0.950000,3.957107,4.040440,1.450000,1.450000
-0.450000,-0.950000,-0.350000,-0.950000,4.040440,4.123773,1.450000,1.450000
-0.350000,-0.950000,-0.250000,-0.950000,4.123773,4.207107,1.450000,1.450000
-0.250000,-0.950000,-0.150000,-0.950000,4.207107,4.290440,1.450000,1.450000
-0.150000,-0.950000,-0.050000,-0.950000,4.290440,4.373773,1.450000,1.450000
-0.050000,-0.950000,0.050000,-0.950000,4.373773,4.457107,1.450000,1.450000
0.050000,-0.950000,0.150000,-0.950000,4.457107,4.540440,1.450000,1.450000
0.150000,-0.950000,0.250000,-0.950000,4.540440,4.623773,1.450000,1.450000
0.250000,-0.950000,0.350000,-0.950000,4.623773,4.707107,1.450000,1.450000
0.350000,-0.950000,0.450000,-0.950000,4.707107,4.790440,1.050000,1.450000
0.450000,-0.950000,0.550000,-0.950000,4.790440,4.873773,0.850000,1.450000
0.550000,-0.950000,0.650000,-0.950000,4.873773,4.957107,0.650000,1.450000
0.650000,-0.950000,0.750000,-0.950000,4.957107,5.040440,0.550000,1.450000
0.750000,-0.950000,0.850000,-0.950000,5.040440,5.123773,0.450000,1.450000
0.850000,-0.950000,0.950000,-0.950000,5.123773,5.207107,0.450000,1.450000
0.950000,-0.950000,1.050000,-0.950000,5.207107,5.290440,0.350000,1.450000
1.050000,-0.950000,1.150000,-0.950000,5.290440,5.373773,0.350000,1.450000
1.150000,-0.950000,1.250000,-0.950000,5.373773,5.457107,0.350000,1.450000
1.250000,-0.950000,1.350000,-0.950000,5.457107,5.540440,0.350000,1.450000
1.350000,-0.950000,1.450000,-0.950000,5.540440,5.623773,0.350000,1.450000
1.450000,-0.950000,1.550000,-0.950000,5.623773,5.707107,0.350000,1.450000
1.550000,-0.950000,1.650000,-0.950000,5.707107,5.790440,0.350000,1.450000
1.650000,-0.950000,1.750000,-0.950000,5.790440,5.873773,0.350000,1.450000
1.750000,-0.950000,1.850000,-0.950000,5.873773,5.957107,0.350000,1.450000
1.850000,-0.950000,1.950000,-0.950000,5.957107,6.040440,0.350000,1.450000
1.950000,-0.950000,2.050000,-0.950000,6.040440,6.123773,0.350000,1.450000
2.050000,-0.950000,2.150000,-0.950000,6.123773,6.207107,0.450000,1.450000
2.150000,-0.950000,2.250000,-0.850000,6.207107,6.324958,0.450000,1.450000
2.250000,-0.850000,2.350000,-0.750000,6.324958,6.442809,0.350000,1.450000
2.350000,-0.750000,2.450000,-0.650000,6.442809,6.560660,0.350000,1.450000
2.450000,-0.650000,2.550000,-0.550000,6.560660,6.678511,0.350000,1.450000
2.550000,-0.550000,2.650000,-0.450000,6.678511,6.796362,0.350000,1.450000
2.650000,-0.450000,2.750000,-0.350000,6.796362,6.914214,0.350000,1.450000
2.750000,-0.350000,2.850000,-0.250000,6.914214,7.032065,0.350000,1.450000
2.850000,-0.250000,2.850000,-0.150000,7.032065,7.115398,0.350000,1.450000
2.850000,-0.150000,2.950000,-0.150000,7.115398,7.198731,1.450000,1.450000
2.950000,-0.150000,3.050000,-0.150000,7.198731,7.282065,1.450000,1.450000
3.050000,-0.150000,3.150000,-0.150000,7.282065,7.365398,1.450000,1.450000
3.150000,-0.150000,3.250000,-0.150000,7.365398,7.448731,1.450000,1.450000
3.250000,-0.150000,3.350000,-0.150000,7.448731,7.532065,1.450000,1.450000
3.350000,-0.150000,3.450000,-0.150000,7.532065,7.615398,1.450000,1.450000
3.450000,-0.150000,3.550000,-0.150000,7.615398,7.698731,1.450000,1.450000
3.550000,-0.150000,3.650000,-0.150000,7.698731,7.782065,1.450000,1.450000
3.650000,-0.150000,3.750000,-0.150000,7.782065,7.865398,1.450000,1.450000
3.750000,-0.150000,3.850000,-0.150000,7.865398,7.948731,1.450000,1.450000
3.850000,-0.150000,3.950000,-0.150000,7.948731,8.032065,1.450000,1.450000
3.950000,-0.150000,4.050000,-0.150000,8.032065,8.115398,1.450000,1.450000
4.050000,-0.150000,4.150000,-0.150000,8.115398,8.198731,1.450000,1.450000
4.150000,-0.150000,4.250000,-0.150000,8.198731,8.282065,1.450000,1.450000
4.250000,-0.150000,4.350000,-0.150000,8.282065,8.365398,1.450000,1.450000
4.350000,-0.150000,4.450000,-0.150000,8.365398,8.448731,1.450000,1.450000
4.450000,-0.150000,4.550000,-0.150000,8.448731,8.532065,1.450000,1.450000
4.550000,-0.150000,4.650000,-0.150000,8.532065,8.615398,1.450000,1.450000
4.650000,-0.150000,4.750000,-0.150000,8.615398,8.698731,1.450000,1.450000
4.750000,-0.150000,4.850000,-0.150000,8.698731,8.782065,1.450000,1.450000
4.850000,-0.150000,4.950000,-0.150000,8.782065,8.865398,1.450000,1.450000
4.950000,-0.150000,5.050000,-0.150000,8.865398,8.948731,1.450000,1.450000
5.050000,-0.150000,5.150000,-0.150000,8.948731,9.032065,1.450000,1.450000
5.150000,-0.150000,5.250000,-0.150000,9.032065,9.115398,1.450000,1.450000
5.250000,-0.150000,5.350000,-0.150000,9.115398,9.198731,1.450000,1.450000
5.350000,-0.150000,5.450000,-0.150000,9.198731,9.282065,1.450000,1.450000
5.450000,-0.150000,5.550000,-0.150000,9.282065,9.365398,1.450000,1.450000
