t,x,y,vx,vy,ax,ay
0.000000,-5.065135,-0.388264,0.940672,-0.206753,0.000000,0.000000
0.049863,-5.018215,-0.398596,0.941607,-0.208126,0.036264,-0.052333
0.099725,-4.971206,-0.409056,0.944170,-0.211720,0.065399,-0.089472
0.149588,-4.924036,-0.419735,0.948025,-0.216831,0.088274,-0.113563
0.199450,-4.876647,-0.430695,0.952883,-0.222864,0.105762,-0.126753
0.249313,-4.828997,-0.441967,0.958497,-0.229326,0.118732,-0.131190
0.299175,-4.781052,-0.453565,0.964663,-0.235837,0.128055,-0.129018
0.349038,-4.732789,-0.465482,0.971222,-0.242119,0.134602,-0.122386
0.398900,-4.684192,-0.477704,0.978055,-0.248003,0.139243,-0.113440
0.448763,-4.635249,-0.490207,0.985090,-0.253429,0.142848,-0.104326
0.498625,-4.585951,-0.502970,0.992298,-0.258440,0.146289,-0.097191
0.548488,-4.536290,-0.515975,0.999690,-0.263187,0.150345,-0.093926
0.598350,-4.486254,-0.529215,1.007302,-0.267870,0.155088,-0.094454
0.648213,-4.435832,-0.542690,1.015163,-0.272653,0.160262,-0.097772
0.698075,-4.385012,-0.556409,1.023287,-0.277650,0.165608,-0.102876
0.747938,-4.333780,-0.570384,1.031677,-0.282925,0.170868,-0.108762
0.797800,-4.282124,-0.584629,1.040321,-0.288492,0.175783,-0.114423
0.847663,-4.230031,-0.599158,1.049197,-0.294316,0.180094,-0.118856
0.897525,-4.177490,-0.613982,1.058267,-0.300308,0.183544,-0.121054
0.947388,-4.124492,-0.629107,1.067482,-0.306334,0.185872,-0.120012
0.997250,-4.071033,-0.644529,1.076780,-0.312206,0.186821,-0.114726
1.047113,-4.017110,-0.660235,1.086086,-0.317690,0.186192,-0.104376
1.096975,-3.962725,-0.676200,1.095324,-0.322535,0.184136,-0.089221
1.146838,-3.907881,-0.692385,1.104430,-0.326518,0.180930,-0.069915
1.196700,-3.852588,-0.708744,1.113353,-0.329449,0.176851,-0.047109
1.246563,-3.796856,-0.725220,1.122057,-0.331169,0.172178,-0.021456
1.296425,-3.740695,-0.741748,1.130518,-0.331552,0.167187,0.006391
1.346288,-3.684119,-0.758260,1.138729,-0.330506,0.162156,0.035780
1.396150,-3.627140,-0.774683,1.146693,-0.327969,0.157363,0.066058
